year,state_name,,district_name,season,crop_name,crop_type,area,production
 1998-99,Andhra Pradesh,,Chittoor,Kharif     ,Jowar,Cereals,2500,1400
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Jowar,Cereals,1200,300
 1998-99,Andhra Pradesh,,East Godavari,Rabi       ,Jowar,Cereals,100,100
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Jowar,Cereals,600,200
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Jowar,Cereals,800,1000
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Jowar,Cereals,6700,5400
 1998-99,Andhra Pradesh,,Kadapa,Rabi       ,Jowar,Cereals,1600,1800
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Jowar,Cereals,600,200
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Jowar,Cereals,3300,1900
 1998-99,Andhra Pradesh,,Khammam,Kharif     ,Jowar,Cereals,4400,3000
 1998-99,Andhra Pradesh,,Khammam,Rabi       ,Jowar,Cereals,21700,13900
 1998-99,Andhra Pradesh,,Krishna,Rabi       ,Jowar,Cereals,100,100
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Jowar,Cereals,9400,9100
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Jowar,Cereals,90200,96300
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Jowar,Cereals,129800,77700
 1998-99,Telangana,,Mahabubnagar,Rabi       ,Jowar,Cereals,43000,23800
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Jowar,Cereals,54800,35900
 1998-99,Andhra Pradesh,,Medak,Rabi       ,Jowar,Cereals,46600,29400
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Jowar,Cereals,13600,5900
 1998-99,Andhra Pradesh,,Nalgonda,Rabi       ,Jowar,Cereals,16200,6300
 1998-99,Andhra Pradesh,,Nizamabad,Kharif     ,Jowar,Cereals,3400,2000
 1998-99,Andhra Pradesh,,Nizamabad,Rabi       ,Jowar,Cereals,22700,17600
 1998-99,Andhra Pradesh,,Prakasam,Kharif     ,Jowar,Cereals,2400,700
 1998-99,Andhra Pradesh,,Prakasam,Rabi       ,Jowar,Cereals,3100,4100
 1998-99,Andhra Pradesh,,Rangareddi,Kharif     ,Jowar,Cereals,67800,35700
 1998-99,Andhra Pradesh,,Rangareddi,Rabi       ,Jowar,Cereals,20000,7300
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Rabi       ,Jowar,Cereals,200,100
 1998-99,Andhra Pradesh,,Srikakulam,Kharif     ,Jowar,Cereals,300,100
 1998-99,Andhra Pradesh,,Srikakulam,Rabi       ,Jowar,Cereals,300,100
 1998-99,Andhra Pradesh,,Visakhapatanam,Kharif     ,Jowar,Cereals,1800,500
 1998-99,Andhra Pradesh,,Visakhapatanam,Rabi       ,Jowar,Cereals,100,100
 1998-99,Andhra Pradesh,,Vizianagaram,Kharif     ,Jowar,Cereals,600,200
 1998-99,Andhra Pradesh,,Warangal,Kharif     ,Jowar,Cereals,3400,1700
 1998-99,Andhra Pradesh,,Warangal,Rabi       ,Jowar,Cereals,16800,9600
 1998-99,Andhra Pradesh,,West Godavari,Kharif     ,Jowar,Cereals,400,100
 1998-99,Andhra Pradesh,,West Godavari,Rabi       ,Jowar,Cereals,100,100
 1998-99,Telangana,,Adilabad,Kharif     ,Maize,Cereals,24900,59500
 1998-99,Telangana,,Adilabad,Rabi       ,Maize,Cereals,4400,18400
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Maize,Cereals,3300,6700
 1998-99,Andhra Pradesh,,Anantapur,Rabi       ,Maize,Cereals,300,1600
 1998-99,Andhra Pradesh,,Chittoor,Kharif     ,Maize,Cereals,100,300
 1998-99,Andhra Pradesh,,Chittoor,Rabi       ,Maize,Cereals,100,300
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Maize,Cereals,1700,3600
 1998-99,Andhra Pradesh,,East Godavari,Rabi       ,Maize,Cereals,3800,18700
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Maize,Cereals,2300,4700
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Maize,Cereals,2800,14100
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Maize,Cereals,100,100
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Maize,Cereals,61000,210400
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Maize,Cereals,35500,159000
 1998-99,Andhra Pradesh,,Khammam,Kharif     ,Maize,Cereals,16200,37600
 1998-99,Andhra Pradesh,,Khammam,Rabi       ,Maize,Cereals,2300,9500
 1998-99,Andhra Pradesh,,Krishna,Kharif     ,Maize,Cereals,3000,6200
 1998-99,Andhra Pradesh,,Krishna,Rabi       ,Maize,Cereals,1700,8600
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Maize,Cereals,700,1400
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Maize,Cereals,100,400
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Maize,Cereals,20100,67200
 1998-99,Telangana,,Mahabubnagar,Rabi       ,Maize,Cereals,500,2100
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Maize,Cereals,77700,270700
 1998-99,Andhra Pradesh,,Medak,Rabi       ,Maize,Cereals,2400,10000
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Maize,Cereals,1700,5800
 1998-99,Andhra Pradesh,,Nalgonda,Rabi       ,Maize,Cereals,100,500
 1998-99,Andhra Pradesh,,Nizamabad,Kharif     ,Maize,Cereals,49500,206600
 1998-99,Andhra Pradesh,,Nizamabad,Rabi       ,Maize,Cereals,5800,18400
 1998-99,Andhra Pradesh,,Prakasam,Kharif     ,Maize,Cereals,4500,13800
 1998-99,Andhra Pradesh,,Prakasam,Rabi       ,Maize,Cereals,1200,5800
 1998-99,Andhra Pradesh,,Rangareddi,Kharif     ,Maize,Cereals,5700,13800
 1998-99,Andhra Pradesh,,Rangareddi,Rabi       ,Maize,Cereals,400,1700
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Kharif     ,Maize,Cereals,100,200
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Rabi       ,Maize,Cereals,100,100
 1998-99,Andhra Pradesh,,Srikakulam,Kharif     ,Maize,Cereals,300,500
 1998-99,Andhra Pradesh,,Visakhapatanam,Kharif     ,Maize,Cereals,6400,8600
 1998-99,Andhra Pradesh,,Visakhapatanam,Rabi       ,Maize,Cereals,300,1400
 1998-99,Andhra Pradesh,,Vizianagaram,Kharif     ,Maize,Cereals,800,1700
 1998-99,Andhra Pradesh,,Vizianagaram,Rabi       ,Maize,Cereals,1600,7900
 1998-99,Andhra Pradesh,,Warangal,Kharif     ,Maize,Cereals,34300,99300
 1998-99,Andhra Pradesh,,Warangal,Rabi       ,Maize,Cereals,11100,39400
 1998-99,Andhra Pradesh,,West Godavari,Kharif     ,Maize,Cereals,500,1100
 1998-99,Andhra Pradesh,,West Godavari,Rabi       ,Maize,Cereals,9200,45800
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Mesta,Fiber Crops,100,800
 1998-99,Andhra Pradesh,,Srikakulam,Kharif     ,Mesta,Fiber Crops,19300,155400
 1998-99,Andhra Pradesh,,Visakhapatanam,Kharif     ,Mesta,Fiber Crops,400,2900
 1998-99,Andhra Pradesh,,Vizianagaram,Kharif     ,Mesta,Fiber Crops,49800,382200
 1998-99,Telangana,,Adilabad,Kharif     ,Moong(Green Gram),Pulses,18200,5300
 1998-99,Telangana,,Adilabad,Rabi       ,Moong(Green Gram),Pulses,3900,500
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Moong(Green Gram),Pulses,2100,1300
 1998-99,Andhra Pradesh,,Chittoor,Kharif     ,Moong(Green Gram),Pulses,300,200
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Moong(Green Gram),Pulses,100,100
 1998-99,Andhra Pradesh,,East Godavari,Rabi       ,Moong(Green Gram),Pulses,63700,28600
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Moong(Green Gram),Pulses,11500,7200
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Moong(Green Gram),Pulses,5000,2000
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Moong(Green Gram),Pulses,600,300
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Moong(Green Gram),Pulses,38600,10300
